Node_Config Probability Error
00101000001100111100000101 0.000121 0.000016
00100100111111111000001001 0.000256 0.000016
00000110010101110001011100 0.000008 0.000006
01110101111011100011110101 0.000104 0.000027
10001010000100011100001100 0.000185 0.000027
00110110111111111000001101 0.000629 0.000050
01110111111011101010011111 0.000045 0.000015
01111111111111111010001101 0.000101 0.000011
00101100101110111000000100 0.000135 0.000028
11010101001000000111110111 0.000113 0.000010
01111011111011000011111111 0.000017 0.000005
00100100111011110001010101 0.000369 0.000025
10000100000000000101110111 0.000012 0.000002
01111111111110101011001110 0.000001 0.000036
11011001000000000111111110 0.000262 0.000021
11011011000000000111110111 0.000241 0.000083
00101010111111111000001100 0.002359 0.000014
00111111110111111000001000 0.000156 0.000011
11011011000100001110100010 0.000035 0.000002
00000100010001010001010000 0.000001 0.000031
00001000000100111100000111 0.000432 0.000004
11011111000100001110001110 0.000003 0.000015
00101000111111111000001001 0.000309 0.000010
10001000000100011100100000 0.000021 0.000010
11111001001000000111110111 0.000022 0.000018
00000100111111111000000000 0.000149 0.000008
11010101110011000011110000 0.000012 0.000004
10001000000100001100100011 0.000003 0.000058
00100110111111111000001000 0.001373 0.000045
11000100000000000111110011 0.000241 0.000031
11011011000000000111110010 0.000128 0.000032
10001000000100111100000101 0.000432 0.000017
11011001000000000111111111 0.000258 0.000052
00101110110111111000001001 0.001073 0.000016
01110111111011000011111101 0.000654 0.000027
11010011001000000111111011 0.000858 0.000004
11010011000000000011111011 0.000003 0.000021
10001010000100111100001100 0.000483 0.000036
11000100000000000111110111 0.000313 0.000004
10001010000100111100000101 0.000024 0.000012
00001000000100111100000011 0.000217 0.000002
01110111011011101011001011 0.000001 0.000036
01110111111011101010011010 0.000333 0.000007
01110111011011000011111110 0.000074 0.000011
10001000000101111100000100 0.000078 0.000017
11010001000001000111110111 0.000027 0.000014
00101000000100111100000000 0.000040 0.000005
00110111111011111010001000 0.000018 0.000034
00110111111011110001011101 0.000335 0.000031
11010111000000000111110111 0.000340 0.000009
10001010000100111100001101 0.000099 0.000003
10001000000100011100100010 0.000015 0.000002
10001010010101110100001101 0.000003 0.000039
01111111111111111010001100 0.000131 0.000025
00101000001100111100000100 0.000132 0.000058
11011001000000000111110110 0.001222 0.000027
11011001000100001110100011 0.000090 0.000008
10000000000001010101110101 0.000042 0.000008
01110111111011100011111011 0.000909 0.000049
10001100000100111100000110 0.000035 0.000014
11010011001000000111111111 0.001554 0.000002
11110101111011000011110000 0.000062 0.000015
00001100100100010100100101 0.000001 0.000005
00100100111011110001011101 0.000032 0.000007
00001100010101111000000100 0.000004 0.000005
10101100100100111100000100 0.000018 0.000004
01110011111011000011110011 0.000005 0.000016
00000010010101111000001100 0.000003 0.000023
11000000001000000111110110 0.000126 0.000002
00001000000100011100000001 0.000081 0.000008
01110101111011100011111001 0.000049 0.000039
11010111010000000011111011 0.000014 0.000008
11001001000000000111110010 0.000692 0.000015
00111111111111111010001001 0.000031 0.000005
10011010000100011100001111 0.000032 0.000002
11011111110100101010001010 0.000010 0.000007
10101010101110111100001100 0.000005 0.000027
00100000111011110001010001 0.000010 0.000002
11110111111011100011111000 0.000140 0.000005
00101100101110111100000100 0.000067 0.000005
00101100101110111000000101 0.000091 0.000002
01100101111011101011110011 0.000006 0.000010
01111111111011100011111110 0.000037 0.000002
10001000000100010100110001 0.000074 0.000020
11110111101010001011111010 0.000005 0.000005
01110011111011100011111011 0.000073 0.000015
11110101101010000011111010 0.000006 0.000005
01010011011011000011111011 0.000018 0.000002
01010111111011101011011111 0.000009 0.000012
00111110111111111010001100 0.000005 0.000018
10001000000100011100001100 0.000018 0.000002
00101010111111111000000000 0.000417 0.000005
10000100000000000111110110 0.000003 0.000022
01010111011001101011011010 0.000019 0.000003
00101000110111111000000000 0.000181 0.000024
01010101110011101011000010 0.000004 0.000028
00111110110111111000001101 0.000377 0.000002
11010011001000000111110110 0.000132 0.000002
01010111011011101011001111 0.000005 0.000004
11000101000001000011110011 0.000003 0.000005
11010101000000001110100010 0.000021 0.000016
10001000000100001110000010 0.000009 0.000053
00111011111111111000001101 0.000245 0.000025
11001000000000000111110010 0.000651 0.000008
00101000111111111000001000 0.000324 0.000029
10101000000100111100000000 0.000168 0.000018
00111110110111111000001100 0.000429 0.000013
11010011000001000111111010 0.000082 0.000014
00100100110111111000000000 0.000045 0.000005
11010011001000000111110011 0.000081 0.000009
00000100111111111000001101 0.000005 0.000005
00101000001100111100000110 0.000063 0.000030
10001000000100010100101100 0.000040 0.000004
00101100110111111000000101 0.000864 0.000016
00011110000100111100001111 0.000003 0.000047
10000000000100010100100101 0.000090 0.000013
01110111111011101011001011 0.000240 0.000006
10000000000000000101110111 0.000297 0.000030
00000000000101011100000101 0.000012 0.000002
01110111111011111010001000 0.000263 0.000013
11110101110011000011110001 0.000013 0.000014
10001100000100010100100100 0.000021 0.000008
01010101111011000011111011 0.000021 0.000004
01111111111011101011011000 0.000014 0.000041
11010101000000001011000010 0.000003 0.000033
00111110110111111000001001 0.000672 0.000008
11110111111011000011111111 0.000174 0.000007
00001010000100111100001100 0.000029 0.000021
10000000000100011100000010 0.000051 0.000004
10001000000100010100100000 0.000199 0.000027
10000000000101011100000101 0.000013 0.000011
10000000000000000101110110 0.000260 0.000017
11111011000010000111111110 0.000014 0.000006
10001010000100111100000100 0.000100 0.000005
11100101101010000011110001 0.000015 0.000002
10000000000000010101100100 0.000019 0.000005
01111111110111101010011010 0.000003 0.000005
00111011111111111010001000 0.000004 0.000005
10001000000100001100000011 0.000014 0.000002
11010111110011000011111110 0.000036 0.000010
01110111111011101011010011 0.000037 0.000008
10001010000100011100001011 0.000041 0.000002
00000100111101111000000101 0.000010 0.000004
10101010000100010101111101 0.000001 0.000007
10001000000100111100001001 0.000005 0.000002
10001010000100111100000010 0.000044 0.000037
11111011000000000111111011 0.000105 0.000003
01110111111011101011011100 0.000218 0.000003
00000110110111111000001000 0.000019 0.000035
10001000000101011100100100 0.000004 0.000003
01010111111011000011111111 0.000146 0.000011
11110111101011000011111100 0.000012 0.000029
01110111011011100011111111 0.000023 0.000002
10001000000100010100100110 0.000399 0.000021
01010111110011101010011110 0.000003 0.000007
01110101111011101011010010 0.000451 0.000002
00100010111111111000001000 0.000047 0.000032
01010101111001000011110011 0.000005 0.000002
01110111111011101011011110 0.000444 0.000028
10001100100100011100000001 0.000005 0.000005
11001001000100001110100110 0.000140 0.000005
11111011001000000111110110 0.000005 0.000009
11110101101010000011110011 0.000042 0.000038
00110111111011110001011100 0.000073 0.000005
01110111111011101010011110 0.000117 0.000013
11000000001000000111110010 0.000067 0.000008
00100000111111111000000100 0.000079 0.000011
11010001001000000111111010 0.000087 0.000008
00101010111111111000000100 0.000396 0.000010
10101000000100111100000010 0.000009 0.000003
11010001001000000111111111 0.000171 0.000007
01111111111111111010001001 0.000231 0.000010
11010101001000000111110110 0.000144 0.000003
11110111111011000011111110 0.000436 0.000013
10001000000100010101101101 0.000004 0.000004
10001000000100111100000111 0.000394 0.000005
00000010010101111100001001 0.000009 0.000007
00111010000100111100001101 0.000004 0.000002
10001000000100010100110000 0.000059 0.000002
00011010001100111100001011 0.000001 0.000002
00101110111110111000001000 0.000022 0.000025
01110011111011101010001000 0.000003 0.000002
01110111111011100011111100 0.000413 0.000020
11111001000000000111110110 0.000037 0.000010
01111111111011101011011110 0.000056 0.000008
11101001001000000111110011 0.000009 0.000007
11110111110011100011111000 0.000010 0.000007
00101000111111111000001100 0.000326 0.000003
01110111111011101010011100 0.000037 0.000012
11111001001000000111111111 0.000004 0.000022
11110111101010000011111010 0.000022 0.000008
10001010000100011100001000 0.000096 0.000002
01110111111011000011110001 0.000021 0.000010
11110101110011000011111001 0.000001 0.000019
01110101111011101011011001 0.000022 0.000011
01110101111011100011110100 0.000046 0.000002
10000000000100111100000100 0.000064 0.000002
11101000000010000111110111 0.000001 0.000005
10001100100100011100000100 0.000003 0.000002
10101000001110111100000100 0.000041 0.000002
01111011111011100011111110 0.000003 0.000011
11011011001000000111110110 0.000003 0.000002
00101100100100111100000101 0.000046 0.000015
00000000010101010100000001 0.000001 0.000004
00001100000100111100000101 0.000128 0.000007
10001000000100011100001111 0.000005 0.000008
11101001001010000111110010 0.000010 0.000011
10001010000100010100101110 0.000115 0.000007
01110101111011100011111000 0.000021 0.000031
01101100111111111010000100 0.000018 0.000004
10000000000100010100100000 0.000053 0.000002
01110101111011000011110100 0.000044 0.000005
00100100111011110001110001 0.000032 0.000010
00000110110101111000001100 0.000026 0.000020
11110111111011101011011010 0.000013 0.000017
11001001000100001110100011 0.000090 0.000010
01100101111011100011110011 0.000105 0.000002
10001000000100010100110100 0.000206 0.000009
11010011011001000111111011 0.000014 0.000018
11101001000000000111110111 0.000024 0.000046
10001010000100010100101001 0.000095 0.000016
11011001000000000111110011 0.000832 0.000013
01110111111011101011010000 0.000031 0.000004
00000100111111111000000101 0.000079 0.000002
11011111000000000111111010 0.000053 0.000004
11001101100000000011110011 0.000001 0.000005
11111011101110001110101110 0.000003 0.000004
11111111111011000011111010 0.000028 0.000002
10001000000101010100100101 0.000109 0.000013
00010111110111111000001100 0.000001 0.000010
11010011010001000011111011 0.000085 0.000019
00100110111011110001011101 0.000241 0.000003
01110101111011100011110001 0.000160 0.000009
11110111110011000011111001 0.000062 0.000005
11001001000000001110100010 0.000021 0.000002
01111111111110101010011010 0.000015 0.000035
00000010010101110101001101 0.000003 0.000011
00101000001110111100000100 0.000218 0.000012
01111111111011000011111111 0.000110 0.000060
01110101111011101010010010 0.000055 0.000007
11001000000100001110100010 0.000319 0.000017
10001000001100111100000100 0.000022 0.000008
11010111010001000011111010 0.000269 0.000005
10001010000100010100111101 0.000049 0.000010
01010111111011100011111000 0.000005 0.000008
01100101111011101011110010 0.000021 0.000005
01110111111011100011011001 0.000027 0.000002
01110111111011100011011011 0.000026 0.000005
10011011000100001100001110 0.000083 0.000002
10011010000100111100001101 0.000023 0.000013
00101100100100111100000100 0.000032 0.000058
01010111111011000011111000 0.000014 0.000002
11011001000100001110100010 0.000246 0.000011
10001000000000000101110111 0.000010 0.000002
10000000000100010100100001 0.000085 0.000002
00101100111111110000011101 0.000001 0.000018
00101000001100111100001110 0.000001 0.000002
11010111001000000111111110 0.000217 0.000005
01010111110011100011111000 0.000001 0.000024
10010011000000000101111011 0.000009 0.000005
10001000000100011100000011 0.000378 0.000005
11011001000000001110100010 0.000063 0.000002
01100101111011100011110010 0.000044 0.000010
01110111111011101010001110 0.000029 0.000007
10001000000100010100110110 0.000068 0.000016
10001010000101011100001100 0.000010 0.000003
10101000000100111100000100 0.000224 0.000002
01110111111011101011001100 0.000035 0.000002
00101100111011110001010101 0.000001 0.000003
00001010010101010100011101 0.000001 0.000025
11111111110110101010001010 0.000015 0.000002
11000100000000000111110010 0.000246 0.000002
01111111111110101010011111 0.000001 0.000005
00000100010001110001010001 0.000001 0.000042
11110111011011000011111011 0.000006 0.000005
00111011111111111000001100 0.000297 0.000033
11010011000001000111111011 0.000073 0.000002
00001000000100111100000000 0.000150 0.000004
00001000101100111100000001 0.000003 0.000002
11010111010001001011011010 0.000009 0.000016
00000100000101111100000100 0.000001 0.000003
01110101111011000011111010 0.000026 0.000002
11110011111011000011111111 0.000023 0.000005
00101010111110111100000001 0.000001 0.000002
10001000000101010101100101 0.000033 0.000007
00001010010101111100000100 0.000006 0.000005
11010111001000000111110110 0.000017 0.000002
11000000000000000101110111 0.000046 0.000009
11111011111011100011111011 0.000005 0.000008
01111111111011101010011011 0.000045 0.000012
11010111111011000011111011 0.000095 0.000004
01110111111011111010001100 0.000083 0.000007
10000000000000000111110111 0.000053 0.000007
11111111111011000011111111 0.000014 0.000008
11011011001000000111111111 0.000033 0.000004
01111011111111101010001010 0.000021 0.000008
00101110111011110001011001 0.000003 0.000037
10001000000100000101110010 0.000045 0.000008
01110101111011000011110010 0.000113 0.000004
11010101001000000111110011 0.000063 0.000014
10001000000100011110000110 0.000003 0.000008
00100010111111111000001100 0.000017 0.000002
10001010000101010100101101 0.000008 0.000013
11110011001010000111111110 0.000013 0.000008
10001000000101011100000101 0.000018 0.000002
10000000000000010101110001 0.000038 0.000011
00000000000100010100000101 0.000001 0.000025
11010011011011000011111011 0.000031 0.000026
10001010000100011100000110 0.000054 0.000007
01110101111011101011011010 0.000067 0.000009
00100110111111110001011101 0.000055 0.000025
10001010000100010100101101 0.000481 0.000011
11010011001000000111110111 0.000135 0.000014
01110101111011101011000010 0.000050 0.000004
01111111111111111000001101 0.000023 0.000010
00101000001110111100001100 0.000003 0.000002
10011011000100011100001100 0.000026 0.000002
11111011101010000111111110 0.000014 0.000002
10001010000101010100100101 0.000001 0.000017
00110111111011111000001001 0.000001 0.000011
10001000100100111100000001 0.000105 0.000011
11010111110011000011111011 0.000145 0.000002
01110111111011101011001010 0.000340 0.000011
11001001000100001110000110 0.000001 0.000007
01111111111111101010001011 0.000071 0.000002
01010111111011101010011011 0.000024 0.000004
00101000001110111100001101 0.000001 0.000002
00111111110111111000001001 0.000118 0.000005
10101000000100010100100100 0.000037 0.000016
10001000100100011100100000 0.000005 0.000002
00101100111110111000000100 0.000077 0.000004
01010111011001101011011110 0.000001 0.000004
00001000010101010100100101 0.000003 0.000020
01110101111010101011010010 0.000021 0.000014
11010101001000000111110010 0.000060 0.000007
00101000000100111100000001 0.000062 0.000005
10001010000100010100100110 0.000022 0.000014
01000101011011000011110011 0.000005 0.000010
11000101001000000111110111 0.000081 0.000002
10101000101110111100000100 0.000067 0.000004
01010111011011101010001111 0.000001 0.000005
01110011111011101011001110 0.000003 0.000011
01010111111011101010001010 0.000009 0.000005
00100110111111111000000001 0.000231 0.000009
01110111111010000011111010 0.000017 0.000007
10001000000100011100100100 0.000028 0.000002
10101000100100011100000001 0.000005 0.000005
00000000010101110001010101 0.000001 0.000005
00101100000100111100000101 0.000035 0.000017
10011010000100011100001101 0.000049 0.000006
10001000000100010101110101 0.000095 0.000003
01110111111011111010001001 0.000169 0.000014
01111111111010101010011011 0.000019 0.000002
01110111111011101011011111 0.000199 0.000002
10000010000100011100001011 0.000001 0.000004
00101000001111111100000100 0.000001 0.000021
11110001111011000011110100 0.000003 0.000011
11011111000000000111111011 0.000091 0.000002
11011001001000000111110111 0.000021 0.000014
11111001000100001110101010 0.000001 0.000005
11111011000000000111111111 0.000117 0.000003
00000100110111111000000000 0.000071 0.000002
10101010000100111100000000 0.000008 0.000005
10000000000100010100100111 0.000024 0.000008
00000110110101111000000100 0.000004 0.000007
10000000000100011100000101 0.000012 0.000002
01010101111011000011110010 0.000018 0.000007
10111011100110011100001101 0.000001 0.000032
00110111111011111010001001 0.000013 0.000036
01111111111111111010001000 0.000304 0.000016
01110101111011101011010001 0.000132 0.000002
01110101111011000011110001 0.000319 0.000008
11111011111010100011111011 0.000001 0.000020
00100000001011010101110101 0.000010 0.000007
10000000000100011100000001 0.000056 0.000003
01010111011001000011111111 0.000106 0.000002
01110101111011101011000110 0.000012 0.000009
00101010111111110000111101 0.000001 0.000002
01100101111011000011110001 0.000054 0.000030
00001010000100011100001111 0.000009 0.000012
10001000000100111100000001 0.000441 0.000005
11011011000100001110001110 0.000033 0.000002
11010111011001000011111011 0.000019 0.000002
00101000001100111100001101 0.000001 0.000014
01110101111011000011111100 0.000018 0.000019
00100110111111111000000100 0.000138 0.000004
10011010000100111100001100 0.000123 0.000002
01110101111010000011110011 0.000013 0.000004
01100100111011111010000101 0.000001 0.000007
01110011111011101010011000 0.000005 0.000013
11101000000000000111110111 0.000009 0.000033
11000000000000000101110011 0.000031 0.000004
00110110111011110001011101 0.000305 0.000005
01110111111011110011111001 0.000017 0.000016
10101000001100010100100111 0.000006 0.000003
10001010000100010101101001 0.000008 0.000004
01111111111011101011011011 0.000092 0.000005
10001000000100010100000101 0.000088 0.000005
11110101110011000011110000 0.000006 0.000002
10010011000000000111111110 0.000008 0.000003
01110111011011101011001110 0.000005 0.000011
11111011111010000011111110 0.000001 0.000002
