Node_Config Probability Error
1010000101111100000100 0.000111 0.000002
1011000100001100101010 0.000003 0.000006
0111101110111100000100 0.000189 0.000006
0000111111111000001000 0.000012 0.000030
1110000100111100001010 0.000006 0.000019
1101011011000011111110 0.000041 0.000010
0111111011100011111011 0.000094 0.000008
0110001110111100001101 0.000118 0.000009
1000010001000111110111 0.000023 0.000006
0111110111111010001000 0.000024 0.000028
0111101110111100001100 0.000135 0.000002
1110110011000011110011 0.000005 0.000010
1010000100001110001010 0.000092 0.000004
1000110001110001011000 0.000002 0.000006
0110110111111000000001 0.000255 0.000006
1110000100111100000001 0.000082 0.000012
0111101100111000001100 0.000015 0.000006
0100111011101011011000 0.000008 0.000024
1111100100011100000001 0.000015 0.000002
0111111011101011011011 0.000032 0.000011
0001110101111000000000 0.000226 0.000006
1101101011000011111110 0.000002 0.000002
1011000100011100000101 0.000074 0.000002
1110000100011100001100 0.000048 0.000010
0001011001101010001011 0.000002 0.000008
1110000100111100001101 0.000071 0.000015
0110111011100011111011 0.000027 0.000004
1001010011000011111111 0.000017 0.000002
0111111111111010001100 0.000209 0.000010
0101111011000011111001 0.000145 0.000026
0000010001101011010011 0.000002 0.000002
0110111111111010001000 0.000050 0.000011
1010000100001100001110 0.000250 0.000010
1100001000000111110110 0.000006 0.000002
1010000100001100000111 0.000082 0.000002
0101111011101011011111 0.000041 0.000009
1001111001000011111010 0.000026 0.000008
1000000101010100100001 0.000015 0.000008
1001000000000011110011 0.000058 0.000006
1110101110111100100100 0.000015 0.000009
0001010001000011110111 0.000044 0.000034
1010001010000111111111 0.000006 0.000017
0101111011110001110001 0.000035 0.000015
1011000100011100000110 0.000127 0.000006
1010000100011100001011 0.000138 0.000002
0101111011101011011000 0.000197 0.000002
0001110011000011110111 0.000018 0.000004
0111111010100011110111 0.000002 0.000019
1111001010000111111111 0.000002 0.000009
1110001010010101110101 0.000006 0.000004
0110111111111010001001 0.000047 0.000013
1110101110111100001100 0.000156 0.000014
0101111011101011111011 0.000048 0.000023
0000011011000011111011 0.000045 0.000002
0101111011110001001101 0.000067 0.000002
0101111011100011110000 0.000267 0.000030
1110001100001110100111 0.000003 0.000010
0011110101111000000101 0.000020 0.000006
0001111111111000000101 0.000135 0.000002
1010010101001110000010 0.000009 0.000002
1010000100010101110101 0.000008 0.000008
1010000100001111100110 0.000006 0.000006
1001000100001100000010 0.000002 0.000026
1010000100010100000101 0.000126 0.000006
0001111011101011011011 0.000026 0.000006
1010000100010100100111 0.000235 0.000009
0101111111111010001000 0.000032 0.000011
1110100110010100101101 0.000026 0.000007
0100111011101010011010 0.000015 0.000016
0110000100111100001101 0.000024 0.000026
0111101100111000000101 0.000009 0.000002
0110001110111100000001 0.000027 0.000002
1000000000000101110011 0.000235 0.000006
1000000100000100101110 0.000008 0.000021
1010000100000101111010 0.000009 0.000004
0100001011110101101100 0.000002 0.000037
0110001100111100001100 0.000068 0.000011
1000000100011100000001 0.000067 0.000002
0001011111111000000100 0.000003 0.000010
0001110001000011110011 0.000076 0.000004
0001010101111000000101 0.000035 0.000031
1111100100111100000001 0.000003 0.000018
0101111111110001001101 0.000014 0.000023
1000001100111100000010 0.000003 0.000018
0101111011110011110001 0.000238 0.000002
1011000100011100001000 0.000035 0.000002
0101111011110001111100 0.000089 0.000011
0101111011000011111101 0.000074 0.000008
1110001100010101100101 0.000008 0.000006
1000000000001110101010 0.000008 0.000002
0101011011100011111011 0.000018 0.000002
1110101010000111111111 0.000017 0.000002
1001001000000111110110 0.000176 0.000017
0001110011110001011100 0.000002 0.000004
0101111011101011111111 0.000002 0.000002
0001111111101010001010 0.000002 0.000002
0101011011100011111111 0.000111 0.000013
1110000100111100100101 0.000003 0.000004
1000000100111100000111 0.000002 0.000013
1101001000000111111111 0.000002 0.000002
0100111011100011111111 0.000056 0.000002
0100111011100011110000 0.000027 0.000002
1111000000000111110111 0.000024 0.000002
1000000000001110110110 0.000002 0.000013
0100111011101011010001 0.000002 0.000002
1001010101101010000010 0.000002 0.000011
0001010001000011011111 0.000003 0.000028
1011100100111000000000 0.000033 0.000015
1000000101010100110100 0.000003 0.000028
1110000000000111111010 0.000161 0.000002
0111111110111000001100 0.000102 0.000041
0110001110111100000110 0.000020 0.000011
0101111011000011111111 0.000571 0.000015
0000111011100011111011 0.000015 0.000027
0111111111111010001000 0.000402 0.000025
0100111111111000000100 0.000141 0.000050
0110110111111000001001 0.000180 0.000006
